"isocode"	"year"	"month"	"ged_best_ns"	"ged_best_os"	"ged_best_sb"	"best"
"TCD"	2008	2	0	3	1	4
"TCD"	2008	6	0	0	2	2
"TCD"	2008	8	0	0	9	9
"TCD"	2008	12	0	0	2	2
"TCD"	2009	4	0	0	1	1
"TCD"	2009	5	0	0	134	134
"TCD"	2009	7	0	0	0	0
"TCD"	2010	4	0	0	4	4
"TCD"	2014	8	10	6	0	16
"TCD"	2015	1	0	5	0	5
"TCD"	2015	2	0	4	3	7
"TCD"	2015	3	0	1	0	1
"TCD"	2015	4	0	14	0	14
"TCD"	2015	5	0	0	37	37
"TCD"	2015	6	0	0	44	44
"TCD"	2015	7	3	24	140	167
"TCD"	2015	8	0	0	9	9
"TCD"	2015	10	0	41	28	69
"TCD"	2015	11	0	3	14	17
"TCD"	2015	12	0	27	0	27
"TCD"	2016	1	0	2	3	5
"TCD"	2016	2	0	1	0	1
"TCD"	2016	8	0	1	4	5
"TCD"	2016	9	0	0	11	11
"TCD"	2016	11	4	0	0	4
"TCD"	2017	1	0	3	0	3
"TCD"	2017	5	0	0	49	49
"TCD"	2017	6	0	0	8	8
"TCD"	2017	8	0	0	3	3
"TCD"	2017	10	10	0	0	10
"TCD"	2017	12	18	0	0	18
"TCD"	2018	2	0	0	2	2
"TCD"	2018	3	0	0	21	21
"TCD"	2018	5	0	0	6	6
"TCD"	2018	7	0	18	0	18
"TCD"	2018	8	0	0	40	40
"TCD"	2018	9	0	0	24	24
"TCD"	2018	10	0	0	57	57
"TCD"	2019	2	0	5	2	7
"TCD"	2019	3	0	0	23	23
"TCD"	2019	4	0	0	70	70
"TCD"	2019	5	0	13	29	42
"TCD"	2019	6	0	1	37	38
"TCD"	2019	7	0	0	4	4
"TCD"	2019	8	65	0	0	65
"TCD"	2019	9	0	4	4	8
"TCD"	2019	11	0	5	0	5
"TCD"	2019	12	0	14	17	31
"TCD"	2020	1	0	9	31	40
"TCD"	2020	2	0	0	53	53
"TCD"	2020	3	6	0	150	156
"TCD"	2020	4	1	0	2	3
"TCD"	2020	5	0	0	0	0
"TCD"	2020	6	0	0	0	0
"TCD"	2020	7	0	10	18	28
"TCD"	2020	8	11	0	0	11
"TCD"	2020	9	0	0	33	33
"TCD"	2020	10	0	0	16	16
"TCD"	2020	11	22	9	5	36
"TCD"	2020	12	36	0	0	36
"TCD"	2021	1	21	0	0	21
"TCD"	2021	3	0	0	2	2
"TGO"	1991	4	0	32	0	32
"TGO"	1991	10	31	0	0	31
"TGO"	1992	5	0	4	0	4
"TGO"	1992	7	0	1	0	1
"TGO"	1993	1	0	48	0	48
"TGO"	1998	1	0	5	0	5
"TGO"	1998	6	0	1	0	1
"TGO"	1998	8	0	3	0	3
"TGO"	2005	2	0	22	0	22
"TGO"	2005	4	0	407	0	407
"TGO"	2005	5	0	7	0	7
"TGO"	2019	4	0	1	0	1
"THA"	1989	2	0	0	20	20
"THA"	1989	4	0	0	177	177
"THA"	1989	7	0	2	4	6
"THA"	1990	1	0	1	0	1
"THA"	1990	2	0	0	15	15
"THA"	1990	5	0	0	3	3
"THA"	1990	8	0	0	1	1
"THA"	1991	3	2	0	0	2
"THA"	1992	8	0	0	0	0
"THA"	1993	7	0	1	0	1
"THA"	1993	8	0	0	0	0
"THA"	1994	7	0	0	1	1
"THA"	1995	2	0	0	4	4
"THA"	1995	3	0	0	0	0
"THA"	1995	4	0	2	0	2
"THA"	1995	5	3	0	0	3
"THA"	1995	10	0	0	3	3
"THA"	1996	1	1	0	0	1
"THA"	1997	1	0	3	0	3
"THA"	1997	8	0	0	1	1
"THA"	1997	12	0	3	0	3
"THA"	1998	1	0	0	3	3
"THA"	1998	3	0	0	1	1
"THA"	1998	10	0	0	8	8
"THA"	1999	5	0	1	0	1
"THA"	2000	10	0	0	8	8
"THA"	2001	1	0	0	3	3
"THA"	2001	2	0	0	2	2
"THA"	2001	7	0	0	20	20
"THA"	2002	5	0	0	23	23
"THA"	2003	2	0	0	2	2
"THA"	2003	3	0	0	0	0
"THA"	2003	4	0	0	5	5
"THA"	2003	5	0	0	3	3
"THA"	2003	7	0	0	7	7
"THA"	2003	8	0	0	5	5
"THA"	2003	10	0	0	4	4
"THA"	2004	1	0	82	8	90
"THA"	2004	2	0	6	7	13
"THA"	2004	3	0	5	5	10
